Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Température,Ph_Final,V0_B_ou_r0_B
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,8.0,0.005
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,7.9,0.051
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,7.6,0.395
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,10.0,0.027
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,9.8,0.106
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,9.3,2.548
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,12.0,0.489
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,11.5,2.16
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,10.7,12.059
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,23,8.0,0.005
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,40,7.9,0.022
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,70,7.6,0.369
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,23,10.0,0.024
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,40,9.8,0.189
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,70,9.3,1.57
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,23,12.0,0.536
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,40,11.5,2.643
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,70,10.7,4.915
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.8
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.6
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.7
0,10.38,61.2,3.16,0,8.47,12.84,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,100,7,0.8
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,80,7,2.88
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,80,7,2.88
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,80,7,2.88
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,80,7.5,23.04
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,80,7.5,11.52
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,22.7,9.0,-2.79
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,22.7,10.0,-2.66
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,22.7,11.0,-1.85
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,22.7,12.0,-1.2
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,40.9,8.7,-2.24
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,40.9,9.6,-1.79
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,40.2,10.9,-1.01
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,39.9,11.7,-0.46
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,71.0,8.1,-0.97
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,71.0,8.9,-0.73
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,70.1,10.4,-0.07
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,70.1,11.1,0.24
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,90.6,7.7,-0.51
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,90.6,8.5,-0.18
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,90.5,10.1,0.54
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,8.0,-2.95
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,9.0,-2.83
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,10.0,-2.15
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,11.0,-1.99
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,12.0,-1.54
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,7.9,-2.1
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,8.7,-1.95
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,9.6,-1.46
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,10.9,-1.32
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,11.7,-0.91
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,8.1,-1.73
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,8.9,-1.02
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,10.4,-0.74
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,11.1,-0.34
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,7.7,-0.5
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,8.5,-0.06
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,10.1,0.04
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,10.7,0.44
0,4.5,55.74,17.31,0.59,4.21,14.24,0,0.06,0.42,0,0,0,0.02,0.3,0,0,0,0.96,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,23.0,8.3,0.00079
0,4.5,55.74,17.31,0.59,4.21,14.24,0,0.06,0.42,0,0,0,0.02,0.3,0,0,0,0.96,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,23.0,9.0,0.00162
