Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Sr,Y,Zr,Mo,Ru,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,S_autres_TR,Th,U,Temp√©rature,ph,V0_B_ou_r0_B
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.0,8.1,0.0005248
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.0,9.1,0.00169824
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.0,10.0,0.00549541
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.0,11.1,0.01445439
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.0,12.1,0.03799
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,5.9,0.00275423
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,7.9,0.00575439
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,8.3,0.00549541
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,8.9,0.01659587
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,9.8,0.03235937
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,40.0,11.5,0.11481536
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,70.0,5.9,0.0074131
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,70.0,7.7,0.03799
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,70.0,8.7,0.15848932
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,70.0,9.4,0.27542287
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,70.0,10.7,0.43651584
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,90.0,5.9,0.03162278
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,90.0,7.7,0.29512092
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,90.0,8.6,0.69183097
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,90.0,9.3,0.616595
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,90.0,10.4,1.51356125
0,2.92,58.04,13.12,0,4.78,18.92,0,0.63,1.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,23.0,8.0,0.005888436
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,10.0,0.030199517
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,12.0,0.48977885
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,7.9,0.050118723
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,9.8,0.107151931
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,11.5,2.137962089
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,7.6,0.398107171
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,9.3,2.570395783
16.04,26.2,0,13.06,1.65,1.82,38.4,0,0,0,0,0,0,1.16,0,0,0,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,8.0,0.005011872
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,10.0,0.023988329
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,12.0,0.53703179
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,7.9,0.021877616
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,9.8,0.190546072
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,11.5,2.630267924
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,7.6,0.371535227
14.96,26.26,0,12.87,2.1,2.38,38.03,0,0,0,0,0,0,1.34,0,0,0,0,1.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,9.3,1.584893192
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,22.0,9.0,0.002884
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,22.0,10.0,0.006761
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,22.0,11.0,0.0302
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,22.0,12.0,0.138038
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,40.8,8.7,0.012882
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,40.9,9.6,0.032359
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,40.9,10.9,0.141254
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,40.9,11.7,0.60256
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,73.0,8.1,0.064565
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,70.3,8.9,0.194984
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,70.3,10.4,0.933254
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,70.6,11.1,3.467369
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,89.8,7.7,0.138038
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,90.4,8.5,1.071519
0,13.87,0,34.46,1.2,9.47,30.27,0,3.45,1.68,0.36,0,0,0.36,0,1.78,0,0,2.36,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,90.6,10.1,3.388442
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,9.0,0.00263
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,10.0,0.005495
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,11.0,0.033113
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,12.0,0.147911
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,8.7,0.011482
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,9.6,0.030903
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,10.9,0.144544
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,11.7,0.851138
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,8.1,0.083176
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,8.9,0.165959
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,10.4,0.851138
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,11.1,3.630781
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8,7.7,0.223872
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,8.5,0.912011
0,15.19,0,35.7,1.2,8.71,32.69,0,0.52,2.14,0,0,0,0.11,0,1.78,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6,10.1,3.981072
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,22.7,9.0,0.001659586907479024
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,22.7,10.0,0.00812830516146864
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,22.7,11.0,0.00741310240974797
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,40.9,8.7,0.00741310240974797
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,40.9,9.6,0.01202264434907935
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,40.9,10.9,0.01660098920138988
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,39.9,11.7,0.026302680000000002
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,71.0,8.1,0.251188643150958
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,71.0,8.9,0.31622776601683794
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,70.1,10.4,0.426579519
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,70.1,11.1,2.5703957834000004
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,90.6,7.7,0.31622776601683794
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,90.6,8.5,1.1481536215
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,90.5,10.1,1.2882500000000001
0,11.99,0,33.26,1.17,6.51,33.35,0,6.0,2.36,0,0,0,0.13,0,2.05,0,0,2.26,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,90.5,10.7,3.3113112148
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,23.0,9.0,0.002137962089589882
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,23.0,10.0,0.00407380275811776
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,23.0,11.0,0.011748975000000002
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,23.0,12.0,0.03981071705534973
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,40.0,8.7,0.02137962089589882
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,40.0,9.6,0.018619475000000003
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,40.0,10.9,0.18197008580000001
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,70.0,8.1,0.14454397687
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,70.0,8.9,0.1778279410038923
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,70.0,10.4,0.7585775750000001
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,70.0,11.1,2.4547089157
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,90.0,7.7,0.36307805477000005
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,90.0,8.5,0.9549925860000001
6.99,21.3,0,17.3,0,5.15,40.02,0,0,3.8,0,0,0,1.99,0,1.63,0,0,1.17,0.65,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,90.0,10.1,2.3442288158