Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Rb,Sr,Y,Zr,Mo,Ru,Te,I,Cs,Ba,La,Hf,Ce,Pr,Nd,S_autres_TR,Température,Poh,Ln(V0)
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.48490665
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.87356464
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.501435952
0,10.09,60.59,7.99,0,2.39,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.955511445
0,9.74,60.25,7.65,0,2.33,18.29,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.292534757
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.104134154
0,9.94,60.7,7.84,0,2.34,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.7884573604
0,10.37,60.24,8.17,0,0,19.39,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,3.955082495
0,10.2,60.37,8.0,0,0,19.08,0,0,1.8,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,4.032469159
0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,5.257495372
0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,5.308267697
0,12.12,54.05,21.19,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,10.7657444
0,9.08,55.8,18.71,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,7.635303886
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.722766598
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.974081026
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.704748092
1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.282382386
1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.609437912
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.00148
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.808288771
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.504077397
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.974081026
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.526056303
0,0,0,8.27,0,51.58,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.335001067
0,0,0,49.26,0,9.74,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.1823215568
0,0,0,20.0,0,20.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,-1.347073648
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6.16782454,-3.194183212
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5.879131022,-2.47693848
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5.607263587,-2.244316185
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5.350792864,-0.3812604194
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,0.4995624315
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,50,6.16782454,-5.80914299
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,60,5.879131022,-4.342805922
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,70,5.607263587,-4.017383521
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,80,5.350792864,-2.120263536
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,-0.5691612008
0,10.24,59.12,10.96,0,0,18.59,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,3.931825633
0,9.69,59.12,11.15,0,0,18.67,0,0,1.07,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,3.526360525
0,10.18,59.21,10.79,0,0,18.42,0,0,1.09,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,3.17805383
0,9.58,59.29,10.8,0,0,18.89,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,90,5.108446923,3.258096538
0,10.76,59.09,10.82,0,0,17.04,0,0,1.11,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,2.63905733
0,10.35,59.11,10.9,0,0,17.31,0,0,1.15,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,3.33220451
0,10.57,59.23,10.57,0,0,17.29,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,90,5.108446923,2.302585093
0,10.78,58.89,11.2,0,0,15.57,0,0,1.14,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,1.386294361
0,10.35,60.11,8.9,0,0,16.89,0,0,1.15,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,2.595254707
0,9.81,59.12,11.03,0,0,16.3,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,90,5.108446923,1.098612289
0,10.37,59.67,8.9,0,0,16.11,0,0,2.46,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,1.435084525
0,10.11,59.82,8.63,0,0,16.39,0,0,2.56,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,2.2300144
0,24.66,0,22.21,0,0,40.43,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,0,0,0,0,90,5.108446923,0.6418538862
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,23,6.044681749,-4.509860006
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,40,5.574956091,-2.128631786
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,70,5.007263587,-0.05657035149
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,23,4.044681749,-3.611918413
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,40,3.674956091,-1.136314156
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,70,3.307263587,1.42262629
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,23,2.044681749,-0.4431669753
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,40,1.974956091,1.482286127
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0,0.06,0.02,0.39,0.28,0.07,0.03,0,0.23,0.16,0.08,0,0.14,0.06,0.21,0.45,70,1.907263587,3.823978368
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,23,6.044681749,-3.912023005
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,40,5.574956091,-2.253794929
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,70,5.007263587,-0.9969586349
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,23,4.044681749,-3.729701449
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,40,3.674956091,-0.8301130356
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,70,3.307263587,1.798072831
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,23,2.044681749,-0.2510287548
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,40,1.974956091,2.033135789
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0,0.07,0.02,0.46,0.35,0.08,0.04,0,0.29,0.18,0.09,0,0.16,0.06,0.22,0.51,70,1.907263587,4.115649329
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.35991016
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.484072969
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.410542234
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.427454075
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.377692565
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.567254391
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.280339484
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.259677592
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.583242551
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.546315278
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.677590994
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.568021556
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.769458829
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.68988623
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.768204124
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.636196097
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.67896462
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.621765833
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.67896462
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.659559992
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.663052835
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.796061078
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.832036181
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.839663088
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.789937361
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.386926241
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.363680192
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.773837942
0,9.56,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.864483987
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.78339122
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.809926773
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.625311262
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.642872689
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.701105101
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.86872051
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,2.02287119
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.943048917
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.943048917
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.954445052
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.829376333
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.715598108
0,0,60.42,8.72,2.18,0.24,25.09,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.108446923,1.857859271
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.960094784
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.840549633
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.589235205
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,10.97428308,-2.525728644
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,9.974283079,-4.199705078
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,8.374283079,-5.298317367
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,7.074283079,-5.11599581
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,5.974283079,-4.605170186
4.12,8.37,58.76,6.62,0,2.01,15.92,0.09,0,1.1,0,0.03,0.09,0.52,0.06,0.76,0.02,0.06,0.03,0.24,0.21,0.11,0.02,0,0.11,0.07,0.05,0,0.4,0,0.17,0.04,25,3.974283079,-3.218875825
